1991 01	16	6.7921	7.1563	7.4213	7.6278	7.798	8.0711	8.3642	8.5602	8.0548
1991 01	17	6.809	7.123	7.3479	7.5266	7.6739	7.8995	8.1124	8.2519	8.0801
1991 01	18	6.7913	7.086	7.3075	7.4934	7.6511	7.8953	8.1239	8.2439	8.0242
1991 01	22	6.7282	7.0634	7.3097	7.5077	7.6718	7.9233	8.1607	8.3149	8.1215
1991 01	23	6.7196	7.0459	7.2873	7.4833	7.6469	7.8994	8.1387	8.2919	8.092
1991 01	24	6.6787	6.9952	7.2378	7.4378	7.6056	7.8652	8.1112	8.2658	8.0568
1991 01	25	6.7228	7.0435	7.2846	7.4843	7.653	7.9157	8.167	8.3322	8.1235
1991 01	28	6.7294	7.0518	7.2964	7.4907	7.6507	7.9009	8.1558	8.3407	8.0097
1991 01	29	6.7197	7.0371	7.2742	7.4633	7.6214	7.8749	8.1398	8.3213	7.9656
1991 01	30	6.6972	7.0087	7.2589	7.4633	7.6324	7.8927	8.1475	8.3418	8.0487
1991 01	31	6.673	6.9873	7.2334	7.434	7.6021	7.8692	8.1434	8.339	7.985
1991 02	01	6.4707	6.7784	7.0359	7.2552	7.4439	7.7471	8.0534	8.2393	7.8407
1991 02	04	6.4241	6.7446	7.0129	7.2381	7.4272	7.7192	7.9981	8.1788	7.8627
